,Name,Type,THC_Level,Terpene,Relaxed,Happy,Euphoric,Uplifted
0,GG4,Hybrid,20%,Caryophyllene,66%,54%,51%,39%
1,Wedding Cake,Hybrid,22%,Limonene,60%,50%,41%,35%
2,Runtz,Hybrid,19%,Limonene,47%,62%,48%,43%
3,Gelato,Hybrid,17%,Caryophyllene,54%,49%,46%,37%
4,Blue Dream,Hybrid,18%,Myrcene,48%,57%,52%,48%
5,Purple Punch,Indica,19%,Caryophyllene,70%,47%,40%,26%
6,Ice Cream Cake,Indica,20%,Limonene,75%,50%,42%,29%
7,GSC,Hybrid,19%,Caryophyllene,55%,60%,52%,45%
8,OG Kush,Hybrid,18%,Myrcene,52%,56%,50%,38%
9,Sour Diesel,Sativa,18%,Caryophyllene,0%,57%,49%,50%
10,Zkittlez,Indica,19%,Caryophyllene,54%,39%,30%,27%
11,Sherbert,Hybrid,18%,Caryophyllene,59%,50%,43%,37%
12,Granddaddy Purple,Indica,17%,Myrcene,56%,44%,42%,0%
13,Mimosa,Hybrid,19%,Myrcene,38%,51%,0%,50%
14,Do-Si-Dos,Indica,21%,Limonene,65%,40%,41%,27%
15,Jack Herer,Sativa,17%,Terpinolene,0%,54%,46%,50%
16,White Widow,Hybrid,16%,Myrcene,42%,57%,53%,49%
17,Pineapple Express,Hybrid,18%,Caryophyllene,37%,60%,44%,47%
18,GMO Cookies,Indica,26%,Limonene,70%,46%,48%,34%
19,Green Crack,Sativa,17%,Myrcene,0%,54%,43%,53%
20,Bubba Kush,Indica,17%,Caryophyllene,61%,48%,44%,0%
21,Northern Lights,Indica,16%,Myrcene,60%,51%,48%,31%
22,Durban Poison,Sativa,17%,Terpinolene,0%,49%,44%,54%
23,Sundae Driver,Hybrid,20%,Myrcene,55%,52%,33%,41%
24,MAC,Hybrid,20%,Myrcene,69%,65%,54%,48%
25,Cherry Pie,Hybrid,16%,Myrcene,57%,57%,48%,42%
26,Chemdawg,Hybrid,19%,Caryophyllene,47%,52%,52%,44%
27,Mac 1,Hybrid,21%,Limonene,34%,36%,41%,31%
28,Wedding Crasher,Hybrid,21%,Caryophyllene,56%,57%,39%,45%
29,SFV OG,Hybrid,20%,Myrcene,52%,53%,45%,42%
30,Slurricane,Indica,21%,Limonene,67%,47%,36%,27%
31,Amnesia Haze,Sativa,18%,Myrcene,0%,62%,55%,51%
32,Stardawg,Hybrid,21%,Caryophyllene,52%,60%,47%,47%
33,Strawberry Cough,Sativa,17%,Myrcene,35%,55%,46%,50%
34,Cereal Milk,Hybrid,24%,Caryophyllene,60%,47%,34%,30%
35,Bruce Banner,Hybrid,21%,Myrcene,48%,55%,54%,46%
36,Gushers,Hybrid,23%,Limonene,38%,32%,24%,18%
37,Biscotti,Hybrid,21%,Caryophyllene,55%,44%,30%,24%
38,Lava Cake,Hybrid,17%,Caryophyllene,67%,34%,37%,34%
39,Trainwreck,Hybrid,17%,Myrcene,37%,50%,55%,46%
40,Mendo Breath,Indica,19%,Caryophyllene,75%,51%,43%,28%
41,Cookies and Cream,Hybrid,21%,Caryophyllene,64%,60%,49%,45%
42,Blueberry,Indica,17%,Myrcene,60%,53%,44%,30%
43,AK-47,Hybrid,16%,Myrcene,42%,56%,46%,45%
44,Blue Cookies,Hybrid,19%,Myrcene,74%,61%,57%,41%
45,Zookies,Hybrid,19%,Caryophyllene,69%,56%,41%,45%
46,Kush Mints,Hybrid,27%,Limonene,42%,42%,39%,27%
47,Super Lemon Haze,Sativa,18%,Terpinolene,0%,53%,46%,51%
48,Grease Monkey,Hybrid,21%,Caryophyllene,73%,49%,50%,32%
49,Forbidden Fruit,Indica,14%,Caryophyllene,67%,48%,40%,28%
50,Peanut Butter Breath,Hybrid,19%,Caryophyllene,65%,48%,34%,29%
51,Animal Cookies,Hybrid,18%,Caryophyllene,68%,54%,47%,38%
52,Grape Ape,Indica,17%,Myrcene,57%,46%,41%,26%
53,Strawberry Banana,Hybrid,21%,Limonene,56%,51%,41%,34%
54,White Runtz,Hybrid,18%,Terpinolene,71%,48%,48%,41%
55,Candyland,Sativa,18%,Caryophyllene,44%,61%,49%,53%
56,Gelato #33,Hybrid,19%,Limonene,56%,62%,50%,53%
57,Super Silver Haze,Sativa,18%,Myrcene,0%,58%,53%,57%
58,White Fire OG,Hybrid,21%,Limonene,48%,57%,49%,50%
59,FPOG,Hybrid,18%,Limonene,49%,62%,53%,50%
60,Tahoe OG,Hybrid,18%,Limonene,66%,46%,43%,0%
61,Jet Fuel,Hybrid,20%,Myrcene,48%,52%,44%,48%
62,Platinum Cookies,Hybrid,18%,Caryophyllene,66%,57%,52%,45%
63,Lemon Haze,Sativa,19%,Myrcene,39%,64%,50%,52%
64,Alien OG,Hybrid,18%,Myrcene,60%,54%,54%,44%
65,Birthday Cake,Hybrid,20%,Caryophyllene,65%,51%,42%,30%
66,Bubble Gum,Hybrid,17%,Myrcene,47%,60%,51%,42%
67,Platinum OG,Indica,19%,Myrcene,69%,43%,48%,0%
68,Apple Fritter,Hybrid,25%,Limonene,67%,55%,42%,37%
69,Blue Cheese,Indica,17%,Myrcene,59%,52%,49%,34%
70,Gary Payton,Hybrid,15%,Caryophyllene,77%,62%,51%,44%
71,Thin Mint GSC,Hybrid,18%,Caryophyllene,63%,56%,52%,48%
72,Tropicana Cookies,Sativa,16%,Caryophyllene,30%,52%,37%,47%
73,King Louis,Indica,21%,Limonene,60%,34%,31%,0%
74,Pound Cake,Hybrid,17%,Myrcene,54%,35%,40%,24%
75,Tangie,Sativa,17%,Myrcene,0%,48%,37%,45%
76,Platinum Kush,Indica,18%,Caryophyllene,68%,52%,49%,0%
77,Cookies Kush,Indica,17%,Myrcene,73%,53%,45%,0%
78,Venom OG,Hybrid,19%,Myrcene,70%,49%,41%,34%
79,Purple Haze,Sativa,16%,Myrcene,40%,58%,57%,50%
80,Gelato #41,Hybrid,24%,Limonene,64%,48%,41%,30%
81,Maui Wowie,Sativa,17%,Myrcene,0%,59%,47%,53%
82,Motorbreath,Hybrid,25%,Caryophyllene,60%,52%,64%,41%
83,Black Diamond,Indica,17%,Myrcene,73%,62%,49%,39%
84,Purple Kush,Indica,17%,Myrcene,58%,52%,46%,0%
85,Mango Kush,Hybrid,19%,Myrcene,48%,60%,45%,39%
86,Headband,Hybrid,19%,Myrcene,44%,53%,52%,46%
87,Fire OG,Hybrid,19%,Myrcene,53%,51%,49%,39%
88,White Rhino,Indica,17%,Myrcene,54%,49%,46%,31%
89,Superglue,Hybrid,20%,Caryophyllene,73%,58%,51%,43%
90,Pink Runtz,Hybrid,16%,Ocimene,47%,50%,31%,34%
91,Banana Kush,Hybrid,18%,Myrcene,47%,45%,41%,35%
92,Orange Cookies,Hybrid,18%,Terpinolene,57%,52%,42%,41%
93,Ice Cream,Hybrid,18%,Myrcene,56%,53%,47%,45%
94,Mandarin Cookies,Hybrid,19%,Myrcene,60%,53%,45%,53%
95,Cheetah Piss,Hybrid,20%,Caryophyllene,55%,37%,48%,37%
96,G13,Indica,19%,Myrcene,54%,54%,56%,37%
97,Mazar x Blueberry OG,Hybrid,19%,Myrcene,66%,54%,48%,38%
98,Ghost Train Haze,Sativa,18%,Terpinolene,0%,54%,46%,50%
99,Alaskan Thunder Fuck,Sativa,16%,Myrcene,0%,56%,53%,50%
100,Blueberry Muffin,Hybrid,18%,Caryophyllene,68%,50%,49%,40%
101,Platinum Bubba Kush,Indica,15%,Caryophyllene,71%,55%,48%,0%
102,Master Kush,Indica,18%,Caryophyllene,61%,49%,48%,35%
103,Gorilla Cookies,Hybrid,20%,Caryophyllene,71%,57%,49%,40%
104,Berry White,Indica,17%,Limonene,61%,56%,51%,43%
105,Cinderella 99,Hybrid,16%,Caryophyllene,0%,58%,52%,52%
106,LA Kush Cake,Hybrid,24%,Limonene,66%,0%,47%,28%
107,Papaya,Indica,15%,Myrcene,65%,53%,39%,35%
108,Cheese,Hybrid,16%,Myrcene,53%,55%,48%,38%
109,Lemon Cake,Sativa,21%,Myrcene,38%,48%,34%,46%
110,Kosher Kush,Indica,20%,Myrcene,65%,44%,41%,0%
